day_of_week,start_time,end_time,location,applicant,latitude,longitude,cold_truck
Monday,08:00,15:00,525 BRANNAN ST,"Off the Grid Services, LLC",37.7778,-122.3971,N
Friday,08:00,15:00,525 BRANNAN ST,"Off the Grid Services, LLC",37.7778,-122.3971,N
Monday,14:00,15:00,1420 YOSEMITE AVE,Singh Brothers Ice Cream,37.725,-122.3883,Y
Tuesday,08:00,17:00,2198 OAKDALE AVE,Tacos Rodriguez,37.741,-122.4015,N
Saturday,22:00,24:00,2365 MISSION ST,Julie's Hot Dogs,37.7592,-122.419,N
Saturday,10:00,22:00,2610 BAY SHORE BLVD,Sanch'ers Taqueria,37.7089,-122.4052,N
Saturday,08:00,12:00,2200 CHESTNUT ST,Eggstasy LLC,37.8005,-122.4395,N
Friday,06:00,22:00,491 BAY SHORE BLVD,San Pancho's Tacos,37.7396,-122.4069,N
Sunday,07:00,19:00,1271 CAPITOL AVE,San Pancho's Tacos,37.7243,-122.4593,N
Monday,06:00,22:00,491 BAY SHORE BLVD,San Pancho's Tacos,37.7396,-122.4069,N
Tuesday,06:00,22:00,491 BAY SHORE BLVD,San Pancho's Tacos,37.7396,-122.4069,N
Saturday,06:00,22:00,491 BAY SHORE BLVD,San Pancho's Tacos,37.7396,-122.4069,N
Wednesday,10:00,22:00,2610 BAY SHORE BLVD,Sanch'ers Taqueria,37.7089,-122.4052,N
Wednesday,09:00,17:00,960 04TH ST,Wonder Philly,37.7753,-122.3928,N
Monday,10:00,22:00,2610 BAY SHORE BLVD,Sanch'ers Taqueria,37.7089,-122.4052,N
Wednesday,06:00,22:00,491 BAY SHORE BLVD,San Pancho's Tacos,37.7396,-122.4069,N
Sunday,07:00,20:00,3119 ALEMANY BLVD,San Pancho's Tacos,37.7102,-122.4556,N
Thursday,06:00,22:00,491 BAY SHORE BLVD,San Pancho's Tacos,37.7396,-122.4069,N
Saturday,07:00,18:00,2901 03RD ST,Tacos El Flaco,37.7528,-122.3877,N
Monday,07:00,18:00,2901 03RD ST,Tacos El Flaco,37.7528,-122.3877,N
Sunday,10:00,18:00,185 BERRY ST,"Off the Grid Services, LLC",37.776,-122.3929,N
Monday,09:00,17:00,101 BAY SHORE BLVD,Eli's Hot Dogs,37.7477,-122.4035,N
Saturday,09:00,22:00,2598 HARRISON ST,"Santana ESG, Inc.",37.7559,-122.4123,N
Thursday,10:00,22:00,200 SHOTWELL ST,"Santana ESG, Inc.",37.7652,-122.4165,N
Friday,10:00,15:00,90 BROADWAY,"Off the Grid Services, LLC",37.7988,-122.3997,N
Saturday,07:00,19:00,Assessors Block 7283/Lot004,Casita Vegana,37.7219,-122.4925,N
Friday,07:00,19:00,Assessors Block 7283/Lot004,Casita Vegana,37.7219,-122.4925,N
Sunday,07:00,19:00,Assessors Block 7283/Lot004,Casita Vegana,37.7219,-122.4925,N
Monday,07:00,19:00,75 WATERLOO ST,Marengo,37.7391,-122.4062,N
Thursday,09:00,10:00,1275 MINNESOTA ST,F & C Catering,37.7543,-122.3898,Y
Tuesday,11:00,14:00,44 MARY ST,"Off the Grid Services, LLC",37.7814,-122.4065,N
Monday,04:00,05:00,1309 INGALLS ST,Singh Brothers Ice Cream,37.7305,-122.3823,Y
Wednesday,11:00,12:00,3300 CESAR CHAVEZ ST,"SOHOMEI, LLC",37.7483,-122.4159,Y
Friday,08:00,09:00,3300 CESAR CHAVEZ ST,"SOHOMEI, LLC",37.7483,-122.4159,Y
Tuesday,04:00,05:00,195 KISKA RD,Singh Brothers Ice Cream,37.73,-122.377,Y
Friday,06:00,07:00,501 HOWARD ST,"SOHOMEI, LLC",37.7885,-122.396,Y
Thursday,04:00,05:00,1562 BANCROFT AVE,Singh Brothers Ice Cream,37.7253,-122.392,Y
Monday,06:00,09:00,2890 03RD ST,F & C Catering,37.753,-122.3879,Y
Monday,07:00,08:00,690 MISSION ST,"SOHOMEI, LLC",37.7864,-122.4019,Y
Tuesday,07:00,18:00,298 MARKET ST,CC Acquisition LLC,37.7924,-122.3974,N
Tuesday,12:00,13:00,690 MISSION ST,"SOHOMEI, LLC",37.7864,-122.4019,Y
Wednesday,12:00,13:00,432 CLAY ST,"SOHOMEI, LLC",37.795,-122.4007,Y
Thursday,10:00,16:00,401 TREAT AVE,El Tonayense #60,37.7638,-122.4135,N
Wednesday,03:00,04:00,1240 MINNESOTA ST,"SOHOMEI, LLC",37.7547,-122.39,Y
Tuesday,12:00,13:00,432 CLAY ST,"SOHOMEI, LLC",37.795,-122.4007,Y
Monday,11:00,12:00,3300 CESAR CHAVEZ ST,"SOHOMEI, LLC",37.7483,-122.4159,Y
Thursday,10:00,11:00,432 CLAY ST,"SOHOMEI, LLC",37.795,-122.4007,Y
Monday,12:00,13:00,1173 INGERSON AVE,Singh Brothers Ice Cream,37.7207,-122.3959,Y
Thursday,02:00,03:00,1104 FITZGERALD AVE,Singh Brothers Ice Cream,37.72,-122.3895,Y
Tuesday,11:00,12:00,3300 CESAR CHAVEZ ST,"SOHOMEI, LLC",37.7483,-122.4159,Y
Wednesday,11:00,12:00,1652 EDDY ST,"SOHOMEI, LLC",37.7812,-122.4349,Y
Monday,02:00,03:00,1101 PALOU AVE,Singh Brothers Ice Cream,37.7287,-122.3817,Y
